Data;INCC-DI
jan/00;184,039
fev/00;185,461
mar/00;186,492
abr/00;187,604
mai/00;190,136
jun/00;191,527
jul/00;192,104
ago/00;192,846
set/00;193,342
out/00;193,984
nov/00;194,789
dez/00;196,037
jan/01;197,174
fev/01;197,849
mar/01;198,388
abr/01;199,112
mai/01;203,321
jun/01;205,682
jul/01;206,742
ago/01;208,026
set/01;209,174
out/01;211,122
nov/01;212,676
dez/01;213,393
jan/02;214,162
fev/02;215,399
mar/02;216,577
abr/02;217,288
mai/02;222,793
jun/02;224,054
jul/02;224,712
ago/02;226,968
set/02;228,576
out/02;231,167
nov/02;236,83
dez/02;240,861
jan/03;244,489
fev/03;247,898
mar/03;251,318
abr/03;253,585
mai/03;260,778
jun/03;263,516
jul/03;266,132
ago/03;269,967
set/03;270,555
out/03;272,325
nov/03;275,152
dez/03;275,594
jan/04;276,49
fev/04;279,243
mar/04;282,47
abr/04;284,128
mai/04;289,317
jun/04;291,348
jul/04;294,625
ago/04;297,003
set/04;298,722
out/04;302,275
nov/04;304,429
dez/04;305,974
jan/05;308,284
fev/05;309,646
mar/05;311,733
abr/05;313,977
mai/05;320,524
jun/05;322,974
jul/05;323,332
ago/05;323,382
set/05;324,164
out/05;324,782
nov/05;325,703
dez/05;326,915
jan/06;328,042
fev/06;328,651
mar/06;329,32
abr/06;330,501
mai/06;334,867
jun/06;337,892
jul/06;339,484
ago/06;340,283
set/06;340,67
out/06;341,369
nov/06;342,159
dez/06;343,401
jan/07;344,943
fev/07;345,682
mar/07;346,617
abr/07;348,194
mai/07;352,204
jun/07;355,456
jul/07;356,545
ago/07;357,467
set/07;359,276
out/07;361,102
nov/07;362,403
dez/07;364,525
jan/08;365,906
fev/08;367,382
mar/08;369,812
abr/08;373,031
mai/08;380,582
jun/08;387,906
jul/08;393,556
ago/08;398,202
set/08;401,975
out/08;405,09
nov/08;407,109
dez/08;407,807
jan/09;409,166
fev/09;410,262
mar/09;409,216
abr/09;409,042
mai/09;414,742
jun/09;417,657
jul/09;418,757
ago/09;418,528
set/09;419,147
out/09;419,405
nov/09;420,635
dez/09;421,051
jan/10;423,74
fev/10;425,268
mar/10;428,476
abr/10;432,079
mai/10;439,914
jun/10;444,718
jul/10;446,688
ago/10;447,296
set/10;448,222
out/10;449,103
nov/10;450,763
dez/10;453,766
jan/11;455,619
fev/11;456,917
mar/11;458,887
abr/11;463,766
mai/11;477,405
jun/11;479,183
jul/11;481,33
ago/11;481,966
set/11;482,658
out/11;483,758
nov/11;487,221
dez/11;487,749
jan/12;492,106
fev/12;493,584
mar/12;496,079
abr/12;499,791
mai/12;509,184
jun/12;512,903
jul/12;516,318
ago/12;517,657
set/12;518,816
out/12;519,907
nov/12;521,638
dez/12;522,474
jan/13;525,85
fev/13;529,029
mar/13;531,691
abr/13;535,601
mai/13;547,655
jun/13;553,948
jul/13;556,6
ago/13;558,34
set/13;560,767
out/13;562,241
nov/13;564,201
dez/13;564,765
jan/14;569,72
fev/14;571,577
mar/14;573,156
abr/14;578,224
mai/14;590,099
jun/14;594,013
jul/14;598,441
ago/14;598,898
set/14;599,823
out/14;600,865
nov/14;603,524
dez/14;604,026
jan/15;609,568
fev/15;611,447
mar/15;615,248
abr/15;618,06
mai/15;623,951
jun/15;635,403
jul/15;638,88
ago/15;642,644
set/15;644,046
out/15;646,355
nov/15;648,542
dez/15;649,216
jan/16;651,759
fev/16;655,263
mar/16;659,446
abr/16;663,057
mai/16;663,61
jun/16;676,42
jul/16;679,751
ago/16;681,756
set/16;684,025
out/16;685,489
nov/16;686,607
dez/16;688,985
jan/17;691,792
fev/17;696,314
mar/17;697,41
abr/17;697,244
mai/17;701,664
jun/17;708,197
jul/17;710,355
ago/17;712,884
set/17;713,33
out/17;715,527
nov/17;717,751
dez/17;718,276
jan/18;720,495
fev/18;721,414
mar/18;723,163
abr/18;725,245
mai/18;726,923
jun/18;733,984
jul/18;738,487
ago/18;739,583
set/18;741,305
out/18;743,866
nov/18;744,865
dez/18;745,856
jan/19;749,517
fev/19;750,18
mar/19;752,524
abr/19;755,373
mai/19;755,625
jun/19;762,304
jul/19;766,699
ago/19;769,951
set/19;773,52
out/19;774,939
nov/19;775,225
dez/19;776,839
jan/20;779,766
fev/20;782,336
mar/20;784,338
abr/20;786,07
mai/20;787,666
jun/20;790,331
jul/20;799,589
ago/20;805,356
set/20;814,701
out/20;828,778
nov/20;839,382
dez/20;845,268
jan/21;852,809
fev/21;868,929
mar/21;880,265
abr/21;888,191
mai/21;907,899
jun/21;927,512
jul/21;935,359
ago/21;939,699
set/21;944,52
out/21;952,596
nov/21;959,001
dez/21;962,321
jan/22;969,184
fev/22;972,904
mar/22;981,244
abr/22;990,543
mai/22;1013,164
jun/22;1034,824
jul/22;1043,76
ago/22;1044,679
set/22;1045,616
out/22;1046,896
nov/22;1050,701
